"Mois de Reporting";"Mois de vente";"Plateforme";"Pays / Région";"Nom du label";"Nom de l'artiste";"Titre de la sortie";"Titre de la piste";"UPC";"ISRC";"Reference catalogue sortie";"Type de sortie";"Type de vente";"Quantite";"Devise de paiement du client";"Prix unitaire";"Frais de reproduction mechanique";"Revenu brut";"Taux de revenu client";"Revenu Net"
"2023-08-01";"2023-07-01";"Spotify";"Lithuania";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"2";"EUR";"0,003348";"0,000000";"0,006697000000000";"0,75";"0,005022750000000"
"2023-08-01";"2023-08-01";"YouTube Official Content";"Greece";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"3";"EUR";"0,004432";"0,000000";"0,013296270938500";"0,75";"0,009972203203875"
"2023-08-01";"2023-07-01";"Amazon Premium";"Luxembourg";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"3";"EUR";"0,009726";"0,000000";"0,029179250100000";"0,75";"0,021884437575000"
"2023-08-01";"2023-07-01";"Amazon Premium";"France";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Stream";"14";"EUR";"0,010527";"0,000000";"0,147372550400000";"0,75";"0,110529412800000"
"2023-08-01";"2023-08-01";"YouTube UGC";"Portugal";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"1";"EUR";"0,000719";"0,000000";"0,000718960240000";"0,75";"0,000539220180000"
"2023-09-01";"2023-08-01";"Spotify";"Honduras";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"2";"EUR";"-0,000259";"0,000000";"-0,000517035000000";"0,75";"-0,000387776250000"
"2023-09-01";"2023-08-01";"Spotify";"Tunisia";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"9";"EUR";"-0,000114";"0,000000";"-0,001022698900000";"0,75";"-0,000767024175000"
"2023-09-01";"2023-08-01";"Spotify";"Mexico";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"PLATFORM PROMOTION";"9";"EUR";"-0,000387";"0,000000";"-0,003483750600000";"0,75";"-0,002612812950000"
"2023-09-01";"2023-08-01";"Spotify";"Georgia";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"1";"EUR";"0,002603";"0,000000";"0,002603000000000";"0,75";"0,001952250000000"
"2023-09-01";"2023-08-01";"Spotify";"Greece";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"2";"EUR";"0,000041";"0,000000";"0,000081000000000";"0,75";"0,000060750000000"
"2023-09-01";"2023-08-01";"Spotify";"France";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Toi & moi ";"3616840797078";"FR-X76-21-65460";"";"Music release";"Stream";"1543";"EUR";"0,002787";"0,000000";"4,299670055600000";"0,75";"3,224752541700000"
"2023-09-01";"2023-07-01";"Facebook / Instagram";"Guinea";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Creation";"6";"EUR";"0,000014";"0,000000";"0,000082918114845";"0,75";"0,000062188586134"
"2023-09-01";"2023-09-01";"YouTube UGC";"Martinique";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"2";"EUR";"0,002081";"0,000000";"0,004162353804000";"0,75";"0,003121765353000"
"2023-09-01";"2023-09-01";"YouTube Official Content";"Taiwan";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"1";"EUR";"0,002290";"0,000000";"0,002290395744000";"0,75";"0,001717796808000"
"2023-09-01";"2023-09-01";"Apple Music";"France";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La mauvaise herbe ";"3616558447944";"QZ-DA4-21-05744";"";"Music release";"Stream";"266";"EUR";"0,005592";"0,000000";"1,487341000000000";"0,75";"1,115505750000000"
"2023-07-01";"2023-06-01";"Spotify";"Luxembourg";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"1";"EUR";"0,002681";"0,000000";"0,002681000000000";"0,75";"0,002010750000000"
"2023-07-01";"2023-05-01";"Tidal";"France";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"2";"EUR";"0,006150";"0,000000";"0,012300000000000";"0,75";"0,009225000000000"
"2023-07-01";"2023-07-01";"Apple Music";"France";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"41";"EUR";"0,004412";"0,000000";"0,180875000000000";"0,75";"0,135656250000000"
"2023-07-01";"2023-06-01";"Tidal";"France";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"5";"EUR";"0,007871";"0,000000";"0,039356000000000";"0,75";"0,029517000000000"
"2023-08-01";"2023-06-01";"Deezer";"France";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"104";"EUR";"0,006100";"0,000000";"0,634450316600000";"0,75";"0,475837737450000"
"2023-08-01";"2023-07-01";"Spotify";"Guatemala";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"3";"EUR";"0,000823";"0,000000";"0,002469000000000";"0,75";"0,001851750000000"
"2023-08-01";"2022-12-01";"Anghami";"Lebanon";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"1";"EUR";"0,001470";"0,000000";"0,001470060372567";"0,75";"0,001102545279425"
